anime_id,name,english_name,score,genres,type,episodes,premiered,producers,studios,source,duration,rating,rank,popularity,favorites,scored_by,members
20971,Kiniro no Corda: Blue♪Sky,La corda d'oro: Blue♪Sky,6.4,Romance,TV,12,spring 2014,Koei,TYO Animations,Visual novel,23 min per ep,PG-13 - Teens 13 or older,7679,4462,34,10820,27898
9882,High School Mystery: Gakuen Nanafushigi,,6.4,"Horror, Mystery",TV,41,spring 1991,Studio Comet,,Unknown,25 min per ep,R - 17+ (violence & profanity),7726,11822,5,500,2045
1276,Ys,,6.4,"Action, Adventure, Drama, Fantasy",OVA,7,,"Starchild Records, Nihon Falcom","Tokyo Kids, Urban Product",Game,26 min per ep,PG-13 - Teens 13 or older,7707,7019,11,3187,9116
60790,"Luffy, Law",,6.39,Action,Movie,1,,,Toei Animation,Manga,5 min,PG-13 - Teens 13 or older,7752,14807,3,349,857
59875,Dan Yuan Meng Changjiu,Pokemon and the Autumn Moon,6.39,Fantasy,ONA,1,,,,Game,3 min,G - All Ages,7732,19884,0,115,289
58853,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,Medaka Kuroiwa is Impervious to My Charms,6.39,"Comedy, Romance",TV,12,winter 2025,"TV Tokyo, Kodansha, Crunchyroll, DMM.com, A-Sketch, DMM pictures, Bit grooove promotion",SynergySP,Manga,23 min per ep,PG-13 - Teens 13 or older,7743,2673,264,11149,74005
58145,Benghuai 3rd: Chunzhen Meng Ge PV,Dreamy Euphony Online Concert Animated Trailer - Honkai Impact 3rd,6.39,,PV,1,,,,Game,40 sec,PG-13 - Teens 13 or older,,19981,1,138,284
58040,Wildfire,,6.39,,Music,1,,"Hypergryph, Yostar",Miota,Game,3 min,G - All Ages,,21232,0,106,214
57738,Disney: Twisted-Wonderland CMs,,6.39,Supernatural,CM,7,,,CloverWorks,Game,30 sec per ep,PG-13 - Teens 13 or older,,18123,0,139,409
56579,Jinyi Shen Jiang,Carpenter Assassin,6.39,"Action, Adventure, Fantasy",ONA,13,,,Yi Chen Animation,Unknown,21 min per ep,PG-13 - Teens 13 or older,7740,17020,1,139,494
55913,Kamisama no Iutoori,,6.39,Avant Garde,Music,1,,,,Original,3 min,G - All Ages,,17347,0,216,469
55732,Bu Xing Si: Yuan Qi,Blader Soul,6.39,"Action, Adventure, Fantasy",ONA,18,,,,Web novel,20 min per ep,PG-13 - Teens 13 or older,7726,15083,6,130,783
55584,Chocolate Town,,6.39,,Music,1,,,,Original,3 min,PG-13 - Teens 13 or older,,20272,0,164,268
54431,Toaru Ossan no VRMMO Katsudouki,A Playthrough of a Certain Dude's VRMMO Life,6.39,"Action, Adventure, Comedy, Fantasy",TV,12,fall 2023,"Yomiko Advertising, KlockWorx, King Records, Stay Luck, AlphaPolis",Maho Film,Light novel,23 min per ep,PG-13 - Teens 13 or older,7770,2367,207,39850,89898
50001,Tom to Jerry,Tom and Jerry,6.39,Comedy,Movie,1,,,,Other,1 min,G - All Ages,7772,16195,0,271,596
53076,Hololive Summer 2022,,6.39,"Adventure, Comedy",ONA,4,,Hololive Production,,Other,3 min per ep,PG-13 - Teens 13 or older,7741,11943,7,762,1967
51602,Larva Island Movie,,6.39,Comedy,ONA,1,,,TUBA,Unknown,1 hr 28 min,G - All Ages,7749,18959,1,134,344
51490,Wo Kao Chongzhi Dang Wudi,Make Money To Be King,6.39,"Action, Fantasy",ONA,60,,Tencent Penguin Pictures,Suoyi Technology,Unknown,7 min per ep,PG-13 - Teens 13 or older,7776,12977,3,251,1410
51450,Happy Music♪,Happy Music♪,6.39,,Music,1,,,,Mixed media,2 min,PG-13 - Teens 13 or older,,15534,0,373,695
48828,Smile Smile Ship Start!,,6.39,,Music,1,,"Lantis, Bandai Namco Arts",Sunrise,Other,5 min,PG-13 - Teens 13 or older,,15070,3,405,794
44263,Shallys,Shallys,6.39,,Music,1,,Hololive Production,,Original,4 min,G - All Ages,,17132,1,278,490
38095,Hatsujou Switch: Otosareta Shoujo-tachi - The Animation,,6.39,Hentai,OVA,1,,Pink Pineapple,Seven,Manga,24 min,Rx - Hentai,,8655,10,2011,5442
34937,Ichinen Buri no The Animation,,6.39,Hentai,OVA,1,,"MS Pictures, Chippai",Studio 1st,Manga,18 min,Rx - Hentai,,7874,46,2908,6823
23477,Kakushi Dere Special,,6.39,Hentai,Special,1,,Pashmina,Peak Hunt,Manga,1 min,Rx - Hentai,,9327,2,1554,4372
8294,Shinshou Genmukan,,6.39,Hentai,OVA,4,,ChiChinoya,,Visual novel,15 min per ep,Rx - Hentai,,8872,9,1549,5077
44211,Rikujoubu Joshi wa Ore no Nama Onaho!!! The Animation,,6.39,Hentai,OVA,2,,Showten,BreakBottle,Web manga,17 min per ep,Rx - Hentai,,8272,23,2420,6044
48654,Bitch na Inane-sama,,6.39,Hentai,OVA,4,,"Queen Bee, Mediabank",Blue bread,Manga,19 min per ep,Rx - Hentai,,7616,48,3276,7388
2325,Angel Blade Punish!,,6.39,"Adventure, Sci-Fi, Hentai",OVA,3,,,Asahi Production,Original,27 min per ep,Rx - Hentai,,7529,21,3142,7600
